qstr_Next_Page|Следующая страница
qstr_Our_realm_has_lost_t|Наше государство потеряло слишком много территорий. Когда-то мы удерживали {s1}, но сейчас удерживаем только {s0}. С данным шатким положением дел, мне необходимо использовать возможность политического союза как козырь для сдерживания других государств, но пока не вижу ни одного достойного {reg65?поклонника:кандидата}. Восстановите {s14} в прежней его славе и Вы будете править рядом со мной, как {мой муж/моя жена}.
qstr_{s0}_{reg0?have:has}|{s0} {reg0?находятся:находится} под чужим контролем. Восстановите {s14} его законные границы и Вы будете править рядом со мной, как {мой муж/моя жена}.
qstr_You_have_only_been_m|Вы были маршалом {reg0} {reg1?дней:день}. Давайте поговорим об этом после того, как сохраните этот пост, по крайней мере, две недели.
qstr_If_not_for_you_I_wou|Если бы не вы, то не сидеть мне на этом троне, {playername}. Когда мы начинали наш долгий путь, немногие люди имели мужество, чтобы поддержать меня. И еще меньше были готовы поставить под угрозу их жизнь за мое дело. Но вы ни на мгновение не сомневаясь бросились на моих врагов. Вместе мы прошли через многое и с Божьей помощью мы одержали победу. Я с удовольствием приму вас как {моего мужа/мою жену} и соправителя {s14}.
qstr_You_sold_{reg1}_{reg|{s0} покупает у вас {reg1} {reg3?вещей:вещь} за {reg0} динар.
qstr_You_sold_{reg1}_{reg3|{s0} покупает у вас {reg1} {reg3?вещей:вещь} за {reg0} динар.
qstr_You_have_bought_{reg|Вы покупаете {reg2} {reg4?видов:вид} пищи за {reg1} динар.
qstr_You_sold_{reg2}_{reg|Вы продаете {reg2} {reg4?видов:вид} тухлой пищи за {reg1} динар.
qstr_axe|топор
qstr_spear|копье
qstr_bow|лук
qstr_sword|меч
qstr_axes|топоры
qstr_spears|копья
qstr_bows|луки
qstr_swords|мечи
qstr_swing_my_axe|махать своим топором
qstr_lift_my_spear|подымать свое копье
qstr_loose_my_arrows|пускать свои стрелы
qstr_swing_my_sword|махать своим мечом
qstr_sultan|султан
qstr_khans|ханы
qstr_sultans|султаны
qstr_kings|короли
qstr_lord|лорд
qstr_lords|лорды
qstr_goatherd|козопас
qstr_swineherd|свинопас
qstr_stable_{boy/girl}|{подручный конюха/подручная конюха}
qstr_shepherd_{boy/girl}|{подручный пастуха/подручная пастуха}
qstr_kvass|кваса
qstr_kumis|кумыса
qstr_mead|меда
qstr_wine|вина
qstr_{reg6?M:m}y_poppet|{reg6?М:м}оя марионетка
qstr_{reg0?Y:y}ou|{reg0?В:в}ас
qstr_{reg0?M:m}yself|{reg0?С:с}ебя
qstr_{reg0?O:o}ur_{s1}_{s|{reg0?Н:н}аш {s1}, {s0}
qstr_{reg0?M:m}y_{s1}_{s0|{reg0?М:м}ой {s1}, {s0}
qstr_{reg0?Y:y}our_{s1}_{|{reg0?В:в}аш {s1}, {s0}
qstr_{s2}:_{reg3}_{reg4}_|{s2}: {reg3}, {reg4} дней
qstr_{s4}:_{reg4}|{s4}: {reg4}
qstr_{s1}_gathering_suppo|{s1}(собирает поддержку)
qstr_{s1}__intelligence_|{s1} (собирает информацию)
qstr_{s1}__ambassy_|{s1} (посланник)
qstr_{s1}__minister|{s1} (министр)
qstr_{s1}__under_arms_|{s1} (под рукой)
qstr_{s1}__attempting_to_|{s1} (пытается вернуться)
qstr_{s1}__separated_afte|{s1} (порознь после боя)
qstr__knows_of_you.| имеет мнение о вас.
qstr__has_no_opinion_abou| не имеет мнения о вас.
qstr_{s57}_and_{s50}|{s57} и {s50}
qstr_Calradia.|Кальрадия.
qstr_sworn_man|присягнувший
qstr_ruler|правитель
qstr_free_man|свободный человек
qstr_{s1}_Renown:_{reg40}|{s1} Известность: {reg40}, Разногласия: {reg41}^Честь: {reg42}, Право на правление: {reg43}^Вы {s44} ({s45})^{reg45?{reg46?Ваш сеньор, {s46},{s47}:Вы сюзерен {s45}}:}^^Друзья: ^Враги: ^^Владения:^  {reg50?{s50}:нет владений}
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2} {reg46?Репутация{:/:} {s42}:}^Известность: {reg40}, Разногласия: {reg41}, {reg46?Нетерпимость{:/:} {reg43}:}^{s44} дворянин из {s45}^{reg46?Cеньор{:/:} {s46}, Отношение{:/:} {reg47}:Сюзерен {s45}}^^{reg48?В настоящее время в плену у {s48}:}^Дней с последней встречи: {reg49}^^Владения{reg51?( был обещан феод):}:^  {reg50?{s50}:нет владений}
qstr_conventional|обычный
qstr_adventurous|отважный
qstr_otherwordly|загадочный
qstr_ambitious|самолюбивый
qstr_moralist|добродетельный
qstr_just_met|только познакомились
qstr_admirer|поклонник
qstr_promised|обрученный
qstr_breakup|разрыв отношений
qstr_unknown|неизвестный
qstr_Heroic_{s50}|Героическое {s50}
qstr_Allegoric_{s50}|Аллегорическое {s50}
qstr_Comic_{s50}|Комическое {s50}
qstr_Mystic_{s50}|Мистическое {s50}
qstr_Tragic_{s50}|Трагическое {s50}
qstr_{s1}{s2}_Controversy|{s1}{s2} Разногласия: {reg41}^Репутация: {s42}, Ухаживание: {s43}^Принадлежит к {s45}^{reg46?Ее отец{:/:} {s46}:Ее опекун{:/:} {s46}}{s47}^Разрешено посещение: {reg45?да:нет} {reg48?Обручена с {s48}:}^^Дней с последней встречи: {reg49}^^Поэмы:^  {reg50?{s50}:не слышала поэм}
qstr_Gathering_support|Собирает поддержку
qstr_Gathering_intelligen|Собирает информацию в {s66}
qstr_Ambassy_to_{s66}|Посланник в {s66}
qstr_Minister|Министр
qstr_none|Нет
